condition	featureID	P_perm	E0	V0	obs	a_0	b_0	P_param	FDR
LPS	(1.00904e+08,1.00906e+08]	0	0.00547259124570723	2.26869691606262e-05	1.46515715583958e-07	1.30741123652757	237.594267662498	1.26663596867645e-06	2.49105073839702e-05
LPS	(1.00906e+08,1.00908e+08]	0.37	0.00376947033716452	1.15871972722464e-05	0.0013448280871347	1.21786732742669	321.869255926818	0.257695966632989	0.563113408568384
LPS	(1.00908e+08,1.0091e+08]	0.5	0.00355582387215901	1.02078633007865e-05	0.00337024569076901	1.23068131431324	344.872320003916	0.596613619102918	0.818609384350515
LPS	(1.0091e+08,1.00912e+08]	0.54	0.00405680199480407	1.38533737121939e-05	0.00341975311652793	1.17911181591371	289.471459107664	0.552471768052886	0.795020349149275
LPS	(1.00912e+08,1.00914e+08]	0.2	0.00367660187305716	9.06189453224139e-06	0.000917614208421943	1.48251408176279	401.746917047818	0.140023675716628	0.447908785326753
PAM3CSK4	(1.00796e+08,1.00798e+08]	0.73	0.00414415062486676	1.34257462357495e-05	0.00596250592545604	1.26973757803865	305.122981455786	0.766093032380965	0.961691253414403
PAM3CSK4	(1.00798e+08,1.008e+08]	0.57	0.00370671079573367	1.07016819507261e-05	0.00337268976460733	1.27541706373494	342.80782385242	0.576855720830385	0.895644408657704
PAM3CSK4	(1.008e+08,1.00802e+08]	0.07	0.00413887377595233	1.28618415161763e-05	0.000371830675104722	1.32221676986555	318.14071963276	0.0470757902294507	0.308607958170844
PAM3CSK4	(1.00802e+08,1.00804e+08]	0.41	0.004128128441093	1.08608033521187e-05	0.00238433578550881	1.55847222482258	375.966657397827	0.362954796571829	0.66919790617931
PAM3CSK4	(1.00804e+08,1.00806e+08]	0.27	0.00343308564802231	1.14548730002757e-05	0.00111593601965594	1.02194837902208	296.654394071331	0.272132296618739	0.553648465534676
PAM3CSK4	(1.00806e+08,1.00808e+08]	0.26	0.00475505519298143	2.12218090270394e-05	0.000932075131626748	1.05561804716437	220.943497488338	0.165955971902357	0.461698924596256
PAM3CSK4	(1.00808e+08,1.0081e+08]	0.11	0.00269550467099613	7.82737034570488e-06	0.000378102629792602	0.923050979854249	341.517824670023	0.146600167840776	0.461698924596256
PAM3CSK4	(1.0081e+08,1.00812e+08]	0	0.00419243947721863	1.30833790647252e-05	1.13208595756355e-06	1.33360111267892	316.76308696728	2.1359606439487e-05	0.000315054194982433
